OrderID,OrderDate,Category,Sales,Quantity,Region,DeliveryStatus,ReturnRequested
ORD-10030,2026-03-01,Apparel,30.89,2,North,Delayed,Yes
ORD-10031,2026-03-21,Home,191.99,4,East,On-Time,No
ORD-10032,2026-01-15,Apparel,140.27,3,East,Delayed,Yes
ORD-10033,2026-03-03,Books,326.58,2,South,On-Time,No
ORD-10034,2026-03-03,Home,254.67,1,West,On-Time,No
ORD-10035,2026-02-16,Home,140.35,2,East,On-Time,No
ORD-10036,2026-03-03,Home,83.13,1,South,On-Time,No
ORD-10037,2026-02-20,Electronics,72.33,2,North,On-Time,No
ORD-10038,2026-02-24,Electronics,433.68,3,North,Delayed,No
ORD-10039,2026-03-05,Home,129.3,1,South,On-Time,No
ORD-10040,2026-01-03,Apparel,329.34,3,South,On-Time,No
ORD-10041,2026-02-20,Home,407.24,3,East,On-Time,No
ORD-10042,2026-01-07,Electronics,310.9,1,North,On-Time,No
ORD-10043,2026-01-21,Apparel,431.19,1,South,On-Time,No
ORD-10044,2026-03-14,Apparel,202.27,4,North,On-Time,No
ORD-10045,2026-02-08,Apparel,478.55,4,South,On-Time,No
ORD-10046,2026-01-18,Home,75.24,4,North,On-Time,No
ORD-10047,2026-01-04,Apparel,60.05,3,West,On-Time,Yes
ORD-10048,2026-03-30,Apparel,332.76,3,East,On-Time,No
ORD-10049,2026-03-01,Apparel,471.99,4,North,On-Time,Yes
ORD-10050,2026-01-14,Apparel,406.35,3,West,Delayed,No
ORD-10051,2026-01-09,Home,47.44,3,North,On-Time,No
ORD-10052,2026-03-31,Electronics,146.89,1,North,On-Time,No
ORD-10053,2026-02-22,Apparel,465.86,1,West,On-Time,No
ORD-10054,2026-01-02,Apparel,134.0,3,North,On-Time,No
ORD-10055,2026-03-25,Home,392.77,4,North,Delayed,No
ORD-10056,2026-03-01,Apparel,414.31,2,East,On-Time,Yes
ORD-10057,2026-03-12,Books,252.77,4,West,On-Time,No
ORD-10058,2026-02-13,Books,199.31,2,West,On-Time,No
ORD-10059,2026-01-08,Apparel,230.56,4,South,On-Time,No
ORD-10060,2026-02-16,Electronics,121.21,1,North,On-Time,No
ORD-10061,2026-02-04,Apparel,445.8,3,East,On-Time,No
ORD-10062,2026-03-19,Electronics,230.8,3,North,On-Time,No
ORD-10063,2026-03-22,Home,442.41,1,North,On-Time,No
ORD-10064,2026-02-05,Books,61.79,2,South,On-Time,No
ORD-10065,2026-02-19,Electronics,494.25,2,North,Delayed,No
ORD-10066,2026-01-04,Electronics,227.2,2,East,On-Time,No
ORD-10067,2026-01-02,Electronics,33.44,1,East,On-Time,No
ORD-10068,2026-01-06,Home,28.63,2,South,On-Time,No
ORD-10069,2026-02-23,Apparel,375.64,1,North,Delayed,No
ORD-10070,2026-01-04,Electronics,332.93,4,East,On-Time,No
ORD-10071,2026-02-23,Books,403.04,4,North,Delayed,No
ORD-10072,2026-03-04,Home,61.63,1,North,On-Time,No
ORD-10073,2026-01-18,Electronics,27.43,3,North,On-Time,No
ORD-10074,2026-03-31,Home,259.2,4,South,On-Time,No
ORD-10075,2026-02-13,Home,199.92,2,North,On-Time,Yes
ORD-10076,2026-02-03,Apparel,236.35,1,East,On-Time,No
ORD-10077,2026-03-15,Electronics,495.88,2,North,On-Time,Yes
ORD-10078,2026-03-03,Electronics,485.67,2,East,On-Time,No
ORD-10079,2026-01-14,Electronics,471.73,3,North,On-Time,No
ORD-10080,2026-02-17,Books,394.08,2,East,On-Time,No
ORD-10081,2026-01-15,Books,183.87,3,East,On-Time,No
ORD-10082,2026-03-13,Electronics,211.94,4,North,On-Time,No
ORD-10083,2026-03-19,Electronics,279.31,1,North,On-Time,No
ORD-10084,2026-03-28,Electronics,416.96,2,East,On-Time,No
ORD-10085,2026-03-03,Electronics,43.67,1,West,On-Time,No
ORD-10086,2026-02-09,Books,217.91,2,South,Cancelled,No
ORD-10087,2026-03-26,Apparel,50.48,1,West,On-Time,No
ORD-10088,2026-03-21,Apparel,262.18,2,West,On-Time,No
ORD-10089,2026-03-23,Electronics,450.46,2,North,On-Time,No
ORD-10090,2026-02-22,Home,393.42,2,South,Delayed,Yes
ORD-10091,2026-01-24,Apparel,121.64,2,West,On-Time,No
ORD-10092,2026-01-26,Home,488.24,2,North,On-Time,No
ORD-10093,2026-03-30,Electronics,337.0,2,West,Delayed,No
ORD-10094,2026-03-01,Home,15.11,2,West,On-Time,No
ORD-10095,2026-02-10,Home,135.15,2,North,On-Time,No
ORD-10096,2026-01-29,Electronics,137.75,2,North,On-Time,No
ORD-10097,2026-01-15,Apparel,43.93,1,North,On-Time,No
ORD-10098,2026-02-14,Books,480.31,3,South,On-Time,No
ORD-10099,2026-03-06,Books,244.35,2,West,On-Time,No
ORD-10100,2026-03-30,Apparel,448.95,3,North,On-Time,No
ORD-10101,2026-03-12,Apparel,167.89,2,East,Delayed,No
ORD-10102,2026-01-09,Books,71.36,2,West,On-Time,No
ORD-10103,2026-03-29,Apparel,242.42,1,East,On-Time,No
ORD-10104,2026-01-01,Electronics,65.84,4,South,On-Time,No
ORD-10105,2026-01-08,Books,248.15,4,North,On-Time,No
ORD-10106,2026-03-29,Electronics,460.95,1,East,On-Time,No
ORD-10107,2026-03-04,Apparel,265.18,3,South,On-Time,No
ORD-10108,2026-01-11,Electronics,312.08,4,North,On-Time,No
ORD-10109,2026-03-22,Electronics,86.75,1,East,On-Time,No
ORD-10110,2026-01-08,Apparel,31.43,1,East,On-Time,No
ORD-10111,2026-02-04,Home,64.3,4,South,On-Time,No
ORD-10112,2026-02-04,Electronics,303.28,3,North,On-Time,No
ORD-10113,2026-02-02,Electronics,56.56,1,North,On-Time,No
ORD-10114,2026-01-05,Electronics,194.24,2,East,On-Time,No
ORD-10115,2026-02-10,Apparel,279.55,3,East,Delayed,No
ORD-10116,2026-01-28,Books,200.44,3,East,On-Time,No
ORD-10117,2026-01-07,Apparel,90.21,4,North,On-Time,No
ORD-10118,2026-03-14,Apparel,144.16,4,South,On-Time,No
ORD-10119,2026-03-13,Books,464.88,2,South,On-Time,No
ORD-10120,2026-01-12,Apparel,341.23,1,North,On-Time,No
ORD-10121,2026-02-03,Electronics,253.06,4,West,Delayed,No
ORD-10122,2026-02-02,Electronics,16.23,4,South,On-Time,No
ORD-10123,2026-02-17,Apparel,496.28,3,East,On-Time,No
ORD-10124,2026-01-23,Apparel,339.01,4,West,On-Time,No
ORD-10125,2026-03-03,Apparel,165.29,4,West,On-Time,No
ORD-10126,2026-03-29,Home,440.84,4,South,On-Time,No
ORD-10127,2026-02-06,Apparel,136.63,4,West,On-Time,No
ORD-10128,2026-02-13,Apparel,276.57,3,West,On-Time,No
ORD-10129,2026-03-27,Home,321.67,2,South,On-Time,No
ORD-10130,2026-02-04,Apparel,118.32,2,South,On-Time,No
ORD-10131,2026-03-06,Books,489.41,1,West,On-Time,No
ORD-10132,2026-02-16,Apparel,376.61,4,East,Delayed,No
ORD-10133,2026-03-19,Electronics,283.33,3,North,On-Time,No
ORD-10134,2026-01-03,Home,98.49,1,West,On-Time,No
ORD-10135,2026-01-01,Apparel,36.39,1,West,On-Time,No
ORD-10136,2026-01-05,Apparel,166.83,2,East,Delayed,No
ORD-10137,2026-03-31,Apparel,379.06,3,West,Cancelled,No
ORD-10138,2026-01-14,Apparel,141.97,3,West,On-Time,No
ORD-10139,2026-01-27,Home,274.38,3,North,On-Time,No
ORD-10140,2026-01-09,Electronics,366.69,2,North,On-Time,No
ORD-10141,2026-03-20,Apparel,62.89,2,North,On-Time,No
ORD-10142,2026-01-15,Electronics,345.8,2,South,On-Time,No
ORD-10143,2026-03-31,Home,55.02,2,South,On-Time,No
ORD-10144,2026-02-11,Electronics,482.91,2,North,On-Time,No
ORD-10145,2026-03-18,Books,249.31,4,North,On-Time,No
ORD-10146,2026-02-20,Apparel,83.83,4,South,On-Time,No
ORD-10147,2026-03-04,Books,177.77,3,East,Delayed,No
ORD-10148,2026-02-21,Books,212.57,1,West,On-Time,No
ORD-10149,2026-01-04,Books,381.51,3,West,On-Time,No
ORD-10150,2026-01-23,Books,374.28,1,North,On-Time,No
ORD-10151,2026-01-15,Apparel,309.85,2,East,On-Time,No
ORD-10152,2026-02-12,Apparel,61.91,1,South,On-Time,No
ORD-10153,2026-01-29,Electronics,84.27,3,North,On-Time,No
ORD-10154,2026-02-05,Electronics,55.94,3,East,Cancelled,No
ORD-10155,2026-01-13,Apparel,292.81,1,East,On-Time,No
ORD-10156,2026-02-01,Apparel,439.8,4,East,On-Time,No
ORD-10157,2026-03-12,Apparel,222.56,2,South,On-Time,No
ORD-10158,2026-02-28,Apparel,88.82,2,South,On-Time,No
ORD-10159,2026-03-27,Books,283.44,3,West,On-Time,No
ORD-10160,2026-01-28,Apparel,407.76,4,West,On-Time,No
ORD-10161,2026-03-07,Home,373.44,1,East,On-Time,No
ORD-10162,2026-02-11,Books,441.91,2,East,On-Time,Yes
ORD-10163,2026-02-14,Books,146.17,4,South,On-Time,No
ORD-10164,2026-03-03,Home,105.04,2,West,On-Time,No
ORD-10165,2026-02-26,Books,441.11,4,East,On-Time,No
ORD-10166,2026-01-06,Books,332.2,4,West,On-Time,No
ORD-10167,2026-01-28,Books,162.36,3,West,On-Time,No
ORD-10168,2026-01-28,Electronics,373.75,2,East,On-Time,No
ORD-10169,2026-02-13,Apparel,409.41,1,South,Delayed,No
ORD-10170,2026-03-25,Apparel,311.34,3,East,On-Time,No
ORD-10171,2026-01-30,Electronics,347.06,3,East,On-Time,No
ORD-10172,2026-03-03,Home,193.88,1,West,Delayed,No
ORD-10173,2026-03-16,Home,273.96,3,East,On-Time,No
ORD-10174,2026-03-30,Books,266.84,4,South,On-Time,No
ORD-10175,2026-03-03,Electronics,425.54,4,East,On-Time,No
ORD-10176,2026-01-01,Books,421.58,2,South,On-Time,No
ORD-10177,2026-01-27,Home,418.01,2,South,On-Time,No
ORD-10178,2026-03-03,Home,15.41,1,West,On-Time,No
ORD-10179,2026-03-18,Books,377.28,2,North,On-Time,No
ORD-10180,2026-01-03,Home,381.75,4,North,On-Time,No
ORD-10181,2026-03-11,Apparel,342.41,1,West,Delayed,No
ORD-10182,2026-03-13,Books,380.57,1,East,On-Time,No
ORD-10183,2026-01-27,Apparel,422.57,2,West,Delayed,No
ORD-10184,2026-01-09,Electronics,240.46,4,South,On-Time,No
ORD-10185,2026-03-03,Books,256.0,1,North,On-Time,No
ORD-10186,2026-02-06,Apparel,71.11,4,West,On-Time,No
ORD-10187,2026-02-20,Home,198.83,4,East,On-Time,No
ORD-10188,2026-02-13,Apparel,325.25,4,West,On-Time,No
ORD-10189,2026-01-24,Books,392.4,2,North,On-Time,No
ORD-10190,2026-03-20,Electronics,116.43,3,West,On-Time,No
ORD-10191,2026-02-28,Books,77.53,3,West,Delayed,No
ORD-10192,2026-02-01,Home,334.89,1,North,On-Time,No
ORD-10193,2026-03-29,Electronics,10.92,4,South,On-Time,Yes
ORD-10194,2026-02-21,Apparel,97.4,2,South,On-Time,No
ORD-10195,2026-03-03,Books,24.24,4,North,On-Time,No
ORD-10196,2026-02-27,Apparel,91.77,4,West,On-Time,No
ORD-10197,2026-02-21,Electronics,98.85,2,North,On-Time,Yes
ORD-10198,2026-01-12,Apparel,199.96,3,South,On-Time,No
ORD-10199,2026-02-08,Apparel,207.14,4,East,Cancelled,No
ORD-10200,2026-01-02,Home,438.39,4,West,On-Time,No
ORD-10201,2026-01-03,Home,259.95,3,South,On-Time,No
ORD-10202,2026-02-25,Apparel,364.47,2,West,On-Time,No
ORD-10203,2026-03-22,Electronics,61.03,1,North,On-Time,No
ORD-10204,2026-02-28,Home,120.46,3,East,On-Time,No
ORD-10205,2026-01-02,Apparel,354.44,1,North,On-Time,No
ORD-10206,2026-01-02,Electronics,35.87,1,East,Delayed,No
ORD-10207,2026-02-23,Books,248.43,3,West,On-Time,No
ORD-10208,2026-03-28,Home,303.69,4,West,On-Time,No
ORD-10209,2026-01-01,Home,305.05,1,North,Delayed,No
ORD-10210,2026-01-19,Books,21.24,1,East,On-Time,No
ORD-10211,2026-01-02,Apparel,167.83,2,East,On-Time,No
ORD-10212,2026-02-22,Books,321.88,4,West,On-Time,No
ORD-10213,2026-02-13,Apparel,83.01,1,North,On-Time,No
ORD-10214,2026-03-31,Electronics,350.75,2,East,On-Time,No
ORD-10215,2026-02-01,Apparel,375.5,4,West,On-Time,No
ORD-10216,2026-03-11,Apparel,491.16,3,South,On-Time,No
ORD-10217,2026-02-01,Home,112.82,3,North,On-Time,No
ORD-10218,2026-03-09,Electronics,414.31,2,South,On-Time,No
ORD-10219,2026-02-24,Electronics,264.95,3,North,On-Time,No
ORD-10220,2026-03-16,Electronics,193.0,1,West,On-Time,No
ORD-10221,2026-02-25,Electronics,69.96,4,East,On-Time,No
ORD-10222,2026-01-17,Home,370.4,1,East,On-Time,Yes
ORD-10223,2026-02-07,Electronics,125.57,1,East,On-Time,No
ORD-10224,2026-01-24,Home,192.0,3,North,On-Time,No
ORD-10225,2026-03-10,Apparel,40.65,1,West,Delayed,Yes
ORD-10226,2026-03-11,Apparel,402.67,3,South,On-Time,Yes
ORD-10227,2026-03-27,Books,385.63,4,West,On-Time,No
ORD-10228,2026-01-11,Apparel,369.47,4,South,On-Time,No
ORD-10229,2026-01-16,Home,156.73,1,North,On-Time,No
ORD-10230,2026-03-14,Apparel,95.01,2,North,On-Time,No
ORD-10231,2026-02-28,Apparel,322.4,3,South,Delayed,No
ORD-10232,2026-03-11,Books,253.12,3,South,On-Time,No
ORD-10233,2026-03-21,Electronics,97.34,1,South,On-Time,No
ORD-10234,2026-01-03,Electronics,346.1,3,West,On-Time,No
ORD-10235,2026-01-20,Home,495.65,3,South,Delayed,No
ORD-10236,2026-02-28,Electronics,376.14,2,North,On-Time,No
ORD-10237,2026-02-05,Books,372.59,2,North,Delayed,Yes
ORD-10238,2026-01-19,Apparel,475.65,1,East,On-Time,No
ORD-10239,2026-03-31,Books,109.44,2,South,On-Time,No
ORD-10240,2026-03-08,Home,287.12,1,West,On-Time,No
ORD-10241,2026-01-19,Home,490.03,4,West,On-Time,No
ORD-10242,2026-01-20,Books,90.99,1,West,On-Time,No
ORD-10243,2026-03-12,Apparel,353.12,4,East,On-Time,No
ORD-10244,2026-02-21,Books,297.05,1,North,On-Time,No
ORD-10245,2026-02-02,Electronics,297.37,3,West,On-Time,No
ORD-10246,2026-02-09,Apparel,351.86,2,North,On-Time,No
ORD-10247,2026-02-08,Electronics,465.51,4,East,On-Time,No
ORD-10248,2026-03-23,Apparel,393.47,1,South,On-Time,No
ORD-10249,2026-01-01,Electronics,37.51,2,South,On-Time,No
ORD-10250,2026-01-11,Books,427.84,1,South,On-Time,No
ORD-10251,2026-02-26,Books,120.52,2,West,On-Time,No
ORD-10252,2026-03-30,Books,194.69,2,South,On-Time,Yes
ORD-10253,2026-02-19,Electronics,236.25,1,West,On-Time,Yes
ORD-10254,2026-01-23,Home,245.64,4,East,On-Time,No
ORD-10255,2026-01-31,Apparel,223.24,4,East,On-Time,No
ORD-10256,2026-02-11,Apparel,469.3,3,West,On-Time,No
ORD-10257,2026-01-07,Apparel,355.95,2,North,On-Time,No
ORD-10258,2026-01-16,Apparel,319.27,3,South,On-Time,No
ORD-10259,2026-03-31,Home,34.42,3,South,On-Time,No
ORD-10260,2026-03-01,Apparel,452.92,1,South,On-Time,No
ORD-10261,2026-01-02,Apparel,455.6,1,West,On-Time,No
ORD-10262,2026-01-01,Electronics,392.3,1,East,On-Time,No
ORD-10263,2026-02-17,Electronics,13.44,2,South,On-Time,No
ORD-10264,2026-01-12,Electronics,38.07,1,East,On-Time,No
ORD-10265,2026-03-10,Books,120.36,1,South,On-Time,No
ORD-10266,2026-02-06,Electronics,74.36,2,South,On-Time,No
ORD-10267,2026-02-01,Electronics,205.43,2,West,Delayed,No
ORD-10268,2026-01-09,Apparel,462.09,4,North,On-Time,No
ORD-10269,2026-01-19,Books,241.31,1,West,On-Time,No
ORD-10270,2026-02-17,Books,16.57,1,South,On-Time,No
ORD-10271,2026-03-21,Home,148.55,1,South,On-Time,No
ORD-10272,2026-01-03,Home,31.85,4,North,On-Time,No
ORD-10273,2026-01-20,Apparel,27.78,1,East,On-Time,No
ORD-10274,2026-01-24,Electronics,145.1,4,East,On-Time,No
ORD-10275,2026-02-23,Books,145.05,3,South,On-Time,No
ORD-10276,2026-02-02,Home,395.69,4,East,Delayed,No
ORD-10277,2026-01-24,Home,487.67,3,South,On-Time,No
ORD-10278,2026-03-16,Home,191.89,1,North,On-Time,No
ORD-10279,2026-03-13,Home,220.15,3,North,On-Time,No
ORD-10280,2026-02-05,Home,423.95,4,South,On-Time,No
ORD-10281,2026-02-07,Books,141.39,2,North,On-Time,No
ORD-10282,2026-03-25,Books,86.63,3,West,On-Time,No
ORD-10283,2026-03-30,Home,428.01,3,West,On-Time,No
ORD-10284,2026-01-25,Home,32.79,1,North,On-Time,No
ORD-10285,2026-01-18,Electronics,313.65,4,South,On-Time,No
ORD-10286,2026-03-23,Home,285.38,3,South,On-Time,No
ORD-10287,2026-03-07,Electronics,179.5,3,North,On-Time,No
ORD-10288,2026-02-23,Apparel,164.44,3,East,Cancelled,No
ORD-10289,2026-02-04,Books,388.21,3,West,On-Time,No
ORD-10290,2026-03-21,Apparel,52.35,2,East,On-Time,No
ORD-10291,2026-03-02,Apparel,126.02,4,South,On-Time,No
ORD-10292,2026-02-10,Apparel,368.9,1,South,On-Time,No
ORD-10293,2026-02-02,Electronics,278.68,1,East,On-Time,No
ORD-10294,2026-03-09,Home,72.71,2,North,On-Time,No
ORD-10295,2026-02-02,Electronics,442.25,4,East,Delayed,No
ORD-10296,2026-01-14,Electronics,202.79,3,East,On-Time,No
ORD-10297,2026-01-21,Apparel,415.66,2,West,On-Time,No
ORD-10298,2026-02-17,Home,395.98,4,West,On-Time,No
ORD-10299,2026-01-20,Home,315.97,3,East,On-Time,No
ORD-10300,2026-01-08,Electronics,252.3,2,East,On-Time,No
ORD-10301,2026-01-07,Apparel,489.98,4,South,On-Time,No
ORD-10302,2026-03-08,Apparel,81.03,1,West,On-Time,No
ORD-10303,2026-01-17,Home,365.33,1,West,On-Time,No
ORD-10304,2026-02-02,Home,103.68,4,South,On-Time,No
ORD-10305,2026-02-17,Apparel,175.75,1,North,Cancelled,No
ORD-10306,2026-03-17,Apparel,161.26,4,West,On-Time,Yes
ORD-10307,2026-02-28,Apparel,474.05,3,West,On-Time,No
ORD-10308,2026-03-27,Books,484.0,4,North,On-Time,No
ORD-10309,2026-01-22,Apparel,99.68,3,West,On-Time,No
ORD-10310,2026-01-30,Apparel,20.8,2,West,On-Time,No
ORD-10311,2026-02-07,Apparel,362.8,4,North,On-Time,No
ORD-10312,2026-02-20,Apparel,214.82,2,North,On-Time,No
ORD-10313,2026-02-23,Books,53.53,1,East,On-Time,No
ORD-10314,2026-01-08,Apparel,345.04,3,South,On-Time,No
ORD-10315,2026-01-27,Home,277.1,4,South,Cancelled,No
ORD-10316,2026-01-27,Home,490.45,2,North,On-Time,No
ORD-10317,2026-01-21,Apparel,121.43,3,North,On-Time,No
ORD-10318,2026-01-30,Apparel,207.95,3,West,On-Time,Yes
ORD-10319,2026-01-28,Books,275.85,1,East,On-Time,No
ORD-10320,2026-03-05,Apparel,397.93,1,East,On-Time,No
ORD-10321,2026-03-10,Apparel,278.93,3,North,On-Time,No
ORD-10322,2026-03-02,Books,310.32,3,West,On-Time,No
ORD-10323,2026-02-17,Electronics,120.81,4,West,On-Time,No
ORD-10324,2026-01-19,Electronics,424.99,3,South,On-Time,No
ORD-10325,2026-01-04,Apparel,220.03,4,South,On-Time,No
ORD-10326,2026-02-04,Books,79.07,3,West,On-Time,No
ORD-10327,2026-03-05,Electronics,335.45,1,South,On-Time,No
ORD-10328,2026-02-18,Electronics,115.88,4,North,On-Time,No
ORD-10329,2026-01-17,Electronics,57.81,2,West,On-Time,No
ORD-10330,2026-02-13,Electronics,432.37,1,South,On-Time,No
ORD-10331,2026-01-30,Electronics,235.48,4,East,On-Time,No
ORD-10332,2026-02-15,Apparel,377.15,4,West,On-Time,No
ORD-10333,2026-01-06,Apparel,152.39,2,West,On-Time,Yes
ORD-10334,2026-02-06,Electronics,395.62,4,East,On-Time,No
ORD-10335,2026-01-24,Apparel,64.85,3,North,On-Time,No
ORD-10336,2026-02-15,Electronics,184.43,2,East,On-Time,No
ORD-10337,2026-02-22,Apparel,489.25,1,West,On-Time,No
ORD-10338,2026-03-01,Apparel,399.05,1,North,On-Time,No
ORD-10339,2026-03-04,Home,253.66,3,South,On-Time,No
ORD-10340,2026-03-26,Electronics,176.49,1,South,On-Time,No
ORD-10341,2026-02-01,Apparel,437.35,4,South,On-Time,No
ORD-10342,2026-03-28,Electronics,276.98,4,West,Cancelled,Yes
ORD-10343,2026-02-02,Books,381.63,3,East,On-Time,Yes
ORD-10344,2026-03-08,Home,379.51,1,North,On-Time,No
ORD-10345,2026-01-18,Apparel,18.79,1,South,Delayed,Yes
ORD-10346,2026-01-25,Electronics,71.86,3,North,Delayed,No
ORD-10347,2026-02-23,Books,333.22,2,West,On-Time,No
ORD-10348,2026-02-27,Electronics,89.19,1,South,On-Time,No
ORD-10349,2026-03-08,Electronics,135.19,2,West,On-Time,No
ORD-10350,2026-02-15,Apparel,473.85,1,East,On-Time,No
ORD-10351,2026-01-24,Electronics,284.49,1,West,On-Time,No
ORD-10352,2026-02-01,Books,377.86,1,West,On-Time,No
ORD-10353,2026-02-16,Home,283.41,1,East,On-Time,No
ORD-10354,2026-03-27,Electronics,280.73,4,North,Delayed,No
ORD-10355,2026-01-23,Apparel,56.13,2,East,On-Time,No
ORD-10356,2026-03-07,Books,178.39,2,East,On-Time,No
ORD-10357,2026-01-27,Books,148.39,1,West,On-Time,No
ORD-10358,2026-01-02,Home,201.46,1,North,On-Time,No
ORD-10359,2026-03-31,Books,401.19,2,South,On-Time,No
ORD-10360,2026-01-17,Books,192.25,4,East,On-Time,No
ORD-10361,2026-02-02,Home,231.33,3,North,On-Time,No
ORD-10362,2026-01-09,Electronics,204.72,3,East,On-Time,No
ORD-10363,2026-02-12,Apparel,55.77,2,East,On-Time,No
ORD-10364,2026-02-17,Books,226.13,1,East,Cancelled,No
ORD-10365,2026-02-08,Electronics,105.85,1,East,On-Time,No
ORD-10366,2026-02-11,Books,101.49,4,West,On-Time,No
ORD-10367,2026-01-26,Electronics,56.08,3,North,On-Time,No
ORD-10368,2026-02-19,Electronics,184.77,4,North,On-Time,No
ORD-10369,2026-01-25,Apparel,381.17,3,North,On-Time,No
ORD-10370,2026-01-24,Electronics,145.46,2,East,On-Time,No
ORD-10371,2026-01-13,Books,163.05,3,West,On-Time,No
ORD-10372,2026-03-01,Books,324.91,4,East,On-Time,No
ORD-10373,2026-01-07,Books,105.96,4,East,On-Time,No
ORD-10374,2026-02-26,Home,449.51,4,North,On-Time,No
ORD-10375,2026-02-05,Electronics,264.89,2,East,On-Time,No
ORD-10376,2026-02-14,Apparel,229.33,3,South,On-Time,No
ORD-10377,2026-01-20,Apparel,283.33,3,East,On-Time,No
ORD-10378,2026-03-06,Apparel,91.36,4,South,On-Time,No
ORD-10379,2026-01-08,Electronics,310.6,3,East,On-Time,No
ORD-10380,2026-01-16,Apparel,187.92,1,West,On-Time,No
ORD-10381,2026-01-14,Apparel,449.62,1,West,On-Time,No
ORD-10382,2026-03-17,Books,92.74,1,North,On-Time,No
ORD-10383,2026-03-28,Books,258.46,3,East,On-Time,No
ORD-10384,2026-01-15,Apparel,303.08,2,South,On-Time,No
ORD-10385,2026-03-07,Home,26.36,2,South,On-Time,No
ORD-10386,2026-02-01,Home,188.21,2,East,On-Time,No
ORD-10387,2026-03-28,Electronics,368.99,2,South,On-Time,No
ORD-10388,2026-03-04,Books,411.98,1,West,On-Time,No
ORD-10389,2026-03-27,Books,163.45,1,South,On-Time,No
ORD-10390,2026-02-20,Apparel,401.31,4,North,Delayed,No
ORD-10391,2026-01-25,Apparel,484.2,3,West,On-Time,No
ORD-10392,2026-02-27,Electronics,429.87,3,West,Delayed,No
ORD-10393,2026-03-04,Apparel,67.65,2,West,Cancelled,No
ORD-10394,2026-03-03,Electronics,372.47,1,East,On-Time,No
ORD-10395,2026-01-22,Books,166.64,2,East,On-Time,No
ORD-10396,2026-02-27,Electronics,494.32,4,West,Cancelled,No
ORD-10397,2026-02-27,Apparel,247.83,3,East,On-Time,No
ORD-10398,2026-03-27,Books,69.99,3,South,On-Time,No
ORD-10399,2026-02-18,Home,365.34,2,East,On-Time,No
ORD-10400,2026-02-21,Electronics,168.28,4,East,On-Time,Yes
ORD-10401,2026-02-11,Electronics,498.57,3,West,On-Time,No
ORD-10402,2026-03-11,Electronics,490.09,4,North,On-Time,No
ORD-10403,2026-01-15,Home,331.51,4,North,On-Time,No
ORD-10404,2026-02-23,Electronics,73.61,2,North,On-Time,No
ORD-10405,2026-03-01,Apparel,346.56,1,South,Delayed,No
ORD-10406,2026-01-08,Books,55.58,2,East,On-Time,No
ORD-10407,2026-02-22,Electronics,24.39,1,North,On-Time,No
ORD-10408,2026-03-01,Books,413.25,4,West,On-Time,No
ORD-10409,2026-01-05,Books,112.78,1,North,On-Time,No
ORD-10410,2026-03-09,Electronics,195.72,4,North,On-Time,No
ORD-10411,2026-01-06,Books,486.99,3,East,Delayed,Yes
ORD-10412,2026-02-16,Apparel,175.05,3,East,On-Time,No
ORD-10413,2026-02-24,Books,155.28,3,East,On-Time,No
ORD-10414,2026-02-09,Apparel,459.92,2,South,On-Time,No
ORD-10415,2026-02-21,Home,64.27,2,South,On-Time,Yes
ORD-10416,2026-01-16,Apparel,382.2,4,North,Delayed,No
